Area statistica,Nome Quartiere,Indice potenziale fragilità demografica,Indice potenziale fragilità sociale,Indice potenziale fragilità economica,Indice sintetico potenziale fragilità
Scandellara,San Donato - San Vitale,93.9285189374,100.718730812,96.4966872285,97.4150541745
Via Larga,San Donato - San Vitale,95.4871054315,96.056447928,85.2769140326,92.6517850105
Roveri,San Donato - San Vitale,99.0032917093,96.6297910148,101.642319335,98.8455997192
Ospedale Sant'Orsola,San Donato - San Vitale,0.0,0.0,0.0,0.0
Via del Genio,Porto - Saragozza,0.0,0.0,0.0,0.0
San Luca,Porto - Saragozza,97.9311437454,89.0161631823,69.8808843955,85.9500737152
Malpighi-2,Porto - Saragozza,101.123696542,102.147691105,106.860032284,103.25419509
Fossolo,Savena,111.034940565,94.4159955368,86.0134423754,96.8809130968
Due Madonne,Savena,106.426144266,97.6392154505,95.904179982,99.7547834545
Lungo Savena,Savena,0.0,0.0,0.0,0.0
Pontevecchio,Savena,98.3194489964,104.181276826,106.850758894,103.223573097
Cavedone,Savena,109.785348954,96.3733137013,100.876357965,101.747837556
Via Arno,Savena,113.735497826,96.2062055316,90.3333169586,99.7031266481
Monte Donato,Savena,101.786446317,94.5545165681,89.7640002246,95.2869405898
Via Toscana,Savena,103.443809319,99.9801577826,97.5333335745,100.285205981
Corelli,Savena,105.710832042,99.0978288569,100.057533614,101.36964124
